Figure 3A,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CT9,CT10,CT11,CT12,CT13,CT14,CT15,CT16,CT17,CT18,CT19,CT20,CT21,CT22,CT23,CT24,CT25,CT26,CT27,CT28,CT29,CT30,CT31,CT32,CT33,CT34,CT35,CT36,CT37,CT38,CT39,CT40,CT41,CT42,CT43,CT44,CT45,CT46,CT47,CT48,CT49,CT50,CT51,CT52,CT53,CT54,CT55,CT56,CT57,CT58,CT59,CT60,CT61,CT62,CT63,CT64,CT65,CT66,CT67,CT68,CT69,CT70,CT71,CT72,CT73,CT74,CT75,CT76,CT77,CT78,CT79,CT80,CT81,CT82,CT83,CT84,CT85,CT86,CT87,CT88,CT89,CT90,CT91,CT92,CT93,CT94,CT95,CT96,CT97,CT98,CT99,CT100,CT101,CT102,CT103,CT104,CT105,CT106,CT107,CT108,CT109,CT110,CT111,CT112,CT113,CT114,CT115
Ntsr2,0.267345564,0.305581016,0.270062316,0.393053955,0.356698879,0.334565524,0.00268415,0.136715976,0.280301636,0.2986643,0.565286107,0.387298267,0.374198957,0.319942773,0.431862667,0.378564204,0.444865337,0.36668299,0.437139093,0.525113107,0.426210622,0.370458234,0.259423351,0.234378284,0.290487346,0.421795214,0.595081458,0.757907006,0,0.067719177,0.091044661,0.252852385,0.109838556,0.26862621,0.229621906,0.177292024,0.000503904,0,0.000547408,0.062053147,0.256397826,0.351797022,0.029556581,0.520779611,0.071600072,0.000288807,0.327087916,0.277878979,0,0,0.084615202,0.054337375,0.026622288,0.018644958,0.708416321,0,0.021422289,0.051059735,0.300037164,0.000143842,0.00324813,0.004754068,0.134596751,0.334969142,0.241590339,0.135269644,0.263202363,0.191530457,0.896338763,1,0.550916574,0.725691807,0.509482629,0.239559784,0.366499789,0.537256475,0.233688896,0.049070974,0.007716418,0.058098688,0.538644031,0,0,0,0.000611985,0,0.000581585,0.089016501,0,0,0.001456166,0.002251129,0,0.00106657,0,0,0,0.00165942,0,0.02897623,0.003865847,0.012099611,0.281531144,0.128615915,0.046673058,0,0,0.026400733,0.000733321,0,0.001414206,0.001674529,0.012931148,0,0.046464417
Npy5r,0.217130449,0.447967134,0.675860115,0.504632719,0.714000631,0.582832078,0.48440087,0.316374418,0.336831941,0.48603003,0.515827301,0.61383729,0.623781205,0.544901206,0.501201215,0.3730639,0.526535131,0.478174389,0.504512261,0.538419794,0.546025222,0.444207252,0.488519591,0.381016395,0.082549118,0.18300965,0.216789324,0.354117919,0.010444704,0.444894574,0.192091043,0.38837329,0.39677234,0.377287884,0.383997092,0.285077539,0,0.139297382,0.009399369,0.067619476,0.378595099,0.242390391,0.175738202,0.007433547,0.305208645,0.122191245,0.197181453,0.057195324,0.346039143,0.12549097,0.195916561,0,0,0,0,0.176595886,0.649112641,0.51148412,0.551908898,0.157612945,0.005726134,0.144219092,0.864552031,0.635632542,0.64785001,0.761694004,0.468102217,0.683544744,0.889020199,0.84363469,0.945232433,0.98427804,1,0.897332463,0.84775335,0.908442129,0.809009438,0.824052347,0.781049971,0.749553685,0.925474986,0.730402632,0.540291657,0.810534685,0.32718962,0.10644575,0.015163177,0,0.074980965,0.037524989,0.202391685,0,0,0,0,0.076233214,0,0.004088119,0.334442775,0.4608167,0.311197042,0.357101787,0.602045264,0.466962139,0.400115368,0,0.162256812,0,0,0,0,0,0,0,0
Nmbr,0,0,0,0,0,0.03227107,0,0,0,0,0.069947261,0.000706787,0.067574628,0.014262828,0.008830009,0.000175749,0.002325043,0.002574773,0.020685295,0.008471402,0.011354209,0.00387235,0.004793796,0,0,0,0,0.011603464,0,0,0,0,0,0,0.055601285,0.000855571,0,0,0,0,0.005799795,0,0,0.289062234,0,0.006976431,0.106623471,0.110029465,0.51071488,0.311832852,0.545791702,0.163661553,0,0.035659024,0.009478854,0.631831988,0.116586616,0.049703208,0,0.204728367,0.41827682,0.716176774,0.018181627,0,0,0.000861827,0,0.00064668,0.048712169,0,0,0,0,0,0.1854491,0.039430492,0.141803635,0.01161317,0.1195522,0,0.023280911,0.00026711,0,0,0.120203988,0.470374564,0.221290344,0.044810357,0.139925585,0.000550195,0.023606754,0,0,0,0,0.096777743,0,0.14761691,0.712984785,1,0.696493094,0.215056681,0.881403857,0.325895405,0.431985281,0.197990107,0.447845593,0.04755181,0.198556221,0.039085462,0,0,0,0,0.014177228
Rxfp1,0,0,0,0,0,0,0,0.162945758,0.323956403,0.004070061,0,0.300397895,0,0,0,0,0,0,0.035688624,0.002646788,0.177413503,0.434360846,0.647446858,0.162120876,0.688510232,0.811933713,0.574398332,0.995357286,0.433670459,0.154659466,0.647230436,0.307382288,0.33876913,0,0.005173902,0.045967832,0,0.334910526,0.092705428,0.000192573,0.145882211,0.272380812,0.464196477,0,0.000248714,0.024505857,0.050156119,0.053165951,0.845733683,0.601289818,0.373315222,0.204838095,0.439226578,0.506049092,0.11089765,0.000799453,0.890404794,1,0.952831415,0.757508864,0.004050631,0,0,0.957252434,0.733424455,0.653561711,0,0.225916285,0.719241191,0.001080761,0.352517252,0.763265268,0.34128427,0.000483392,0,0.00011082,0.699800716,0,0.841037566,0.620185971,0.863550661,0.551743662,0.256271693,0.820032043,0,0,0,0,0.001799649,0,0.000320665,0.000193464,0,0,0,0,0,0,0,0,0,0.174523344,0.393537727,0.544673717,0.019038402,0.111067406,0.182486632,0.044148775,0.00020484,0,0,0,0,0,0
Sstr4,0.49015339,0.597261842,0.083520342,0.644782723,0.446555273,0.276657596,0,0.331014453,0.791690256,0.704086726,0.216081866,0.382989721,0.1685761,0.000366219,0.260337075,0.38101813,0.349382758,0.616553218,0.685135828,0.65853062,0.590751355,0.619720956,0.584265856,0.771463786,0.852294805,0.891198868,0.597831349,0.247375295,0.802020751,0.72344124,0.86282921,0.886195807,0.868825659,0.581121402,0.745679213,0.774520672,0.426427756,0.79449679,0.706089776,0.679614568,0.806534473,0.843756797,0.993584473,0.761532155,1,0.961168296,0.842199791,0.794690136,0.853581276,0.822242075,0.734905719,0.639150779,0.712294493,0.705497432,0.376352725,0.493824237,0,0,0,0.045616176,0.402179033,0.003679815,0,0.533493194,0.567919126,0.01845191,0.360985379,0.359023371,0.574857248,0.681789882,0.761063275,0.351535662,0.004378222,0,0.053967367,0.036751139,0.349966551,0.682218891,0.555052527,0.474167758,0.825931247,0.847227965,0.879090907,0.835007671,0,0.11100799,0.211844917,0.230169626,0.101857138,0.070286954,0.117930937,0.37781697,0.464689889,0.39371094,0.000855498,0,0,0.017156724,0,0,0,0,0,0.010006042,0.004579466,0.47814327,0.116085129,0.274751117,0.226011497,0.049179627,0.155179579,0.149378908,0.1278923,0.315949121,0.540139144
Trhr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039155179,0.083884023,0,0.778824909,0.750363209,0.595752506,1,0,0.010524667,0,0,0,0,0,0,0,0,0,0,0.21896776,0,0.331334227,0.001206688,0,0,0,0,0.021574953,0,0,0.126372293,0.0129532,0.076040435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sstr1,0.232884966,0.423416813,0.360776623,0.383144291,0.427748983,0.394722605,0.106016589,0.000545659,0,0.000939467,0.37360512,0.473590117,0.369259441,0.306680828,0.312250972,0.154072397,0.233859552,0.051437391,0,0.216170536,0.15041535,0.258197165,0.353037419,0.517177539,0.331652817,0.516557739,0.545673239,0.431414086,0,0.052702419,0.101464402,0.248851642,0.252539581,0.75933887,0.731881956,0.638347194,0.029659717,0.230060974,0.089201399,0.338478581,0.364337103,0.539065115,0.475492619,0.254385745,0.198573021,0.411399851,0.544469997,0.309644114,0,0,0,0,0,0,0,0.261944581,0.161372394,0.374255212,0.370059625,0.48841032,0.370619207,0.062271669,0,0.001543427,0.014690013,0.000606226,0.060279024,0.00062515,0.816668204,0.99904357,0.682970159,0.533720478,0.159430165,0,0,0.017753609,0.000366049,0.003158306,0,0,0.066068629,0,0,0.027412959,0.082477572,0.292924165,0.611754678,0.476745518,0.722096212,0.735450464,0.733381741,0.815664044,0.88589071,1,0.545797617,0.270862847,0,0.347397232,0.310100743,0.477706571,0.775717423,0.730175143,0.570108581,0.674036076,0.833981564,0.682456355,0.367214469,0.037225706,0.083252511,0,0,0,0,0,0
Adcyap1r1,0.209711347,0.599182558,0.535539651,0.48986194,0.576199341,0.4234497,0.485780108,0.560280661,0.512211315,0.465250982,0.666027655,0.545100142,0.450301299,0.395152984,0.345983301,0.326131334,0.257743306,0.181575018,0.302884092,0.480876219,0.467614516,0.677631524,0.566825975,0.733544419,0.604037834,0.874279872,0.630879995,0.385561269,0.276890311,0.001258906,0.000308349,0.000191067,0,0,0,0,0.524130559,0.621653766,0.585655412,0.49453855,0.000737204,0.007855316,0.129424401,0.628676071,0.009418715,0.032327957,0.209930587,0.485776338,0.520844473,0.462134448,0.401731032,0.353421157,0.46965974,0.442960127,0.45181018,0.741877588,0.830819169,0.820423255,0.84020995,0.702270217,0.697469666,0.679422947,0.733815799,0.86569475,0.754864219,0.872275001,0.825660946,0.758600728,1,0.960559676,0.905026994,0.632765857,0.673606307,0.717441387,0.678077011,0.664294269,0.895999988,0.779052938,0.930435807,0.803499048,0.865403222,0.903882763,0.862279453,0.957931774,0.672239594,0.921713015,0.977450736,0.896300174,0.990436673,0.918159334,0.945052686,0.873361872,0.821619217,0.917057105,0.888488842,0.898538927,0.854356406,0.932274219,0.979488817,0.943753012,0.928393215,0.773989845,0.77997341,0.63234267,0.323700898,0.728897131,0.592447509,0.672619579,0.783025731,0.738578625,0.75995928,0.758151484,0.665152176,0.779712121,0.767132378
Crhr1,0.469323145,0.364962104,0.602477993,0.398734736,0.568102573,0.61563623,1,0.797913133,0.456938388,0.291431316,0.572240954,0.741673095,0.720212503,0.826356896,0.894083585,0.932034139,0.863059269,0.816322619,0.562993763,0.481499068,0.507041425,0.411433449,0.334353018,0.50749544,0.466800079,0.468732231,0.714349937,0.175927285,0.425334369,0.386349727,0.271289177,0.243669148,0.372918143,0.301542397,0.274463581,0.455782429,0,0,0,0,0.003665004,0.000488253,0,0.02079037,0,0,0,0.003607456,0.010089926,0,0,0,0,0.134838002,0.328060186,0,0,0,0.000639356,0,0,0,0,0,0,0,0,0,0.367320405,0.628760586,0.457297193,0.205585566,0.019159689,0,0.312537162,0.096997467,0,0.326861155,0,0,0.015334542,0.001751216,0.41120945,0,0,0,0,0,0,0,0,0,0,0.00031044,0.000295622,0,0.022617403,0,0,0,0.000568036,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rxfp3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.400533656,0.401133828,0.040968486,0,0,0,0,0,0.040518024,0,0,0,0.038090236,0.170431983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.476029125,0.635037761,0.88966942,0.905664149,1,0.722641737,0.765342338,0.476849429,0.279822356,0.525008757,0.922218515,0.109608837,0.391000219,0.063177815,0,0,0.010649202,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oprl1,0.248620776,0.772481392,0.679188349,0.729665245,0.719916619,0.71772047,0.724893493,0.826573913,0.838447491,0.720667849,0.871348777,0.719869767,0.669954685,0.643915603,0.620987531,0.78777664,0.791036038,0.915584892,0.832785549,0.74494516,0.772845668,0.740157193,0.669372686,0.771130992,0.453541424,0.888349125,0.819139399,0.761835717,0.899065514,0.870659709,0.765080717,0.711556383,0.721851455,0.916281993,0.913881348,0.863516879,0.809660152,0.850468705,0.728041198,1,0.780364586,0.773166425,0.562163831,0.890774811,0.67589497,0.538252039,0.767243946,0.738901836,0.766429621,0.827987288,0.835126581,0.825444557,0.853612545,0.835331308,0.77570812,0.802474614,0.708852112,0.70279331,0.625445939,0.514343679,0.469942785,0.411137193,0.131891739,0.498272119,0.507808503,0.093483039,0.61108127,0.002249718,0.678145319,0.753554176,0.434363966,0.503009541,0.359059571,0,0,0,0,0,0,0,0.006975521,0,0,0,0.946366569,0.800572639,0.737473624,0.546841826,0.811351882,0.875583838,0.919428793,0.819078972,0.870104996,0.85887507,0.833618562,0.934378703,0.755183706,0.863892197,0.897626342,0.749130744,0.932376478,0.862227364,0.712008663,0.875523671,0.763539655,0.620551703,0.639013914,0.508246698,0.642178642,0.531064398,0.481928917,0.579723504,0.590342783,0.608603969,0.243592949
Crhr2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001220195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.543806778,0,0.339574481,0.478761729,0.223139549,0.121484056,0.000540913,0,0.000426709,0.210079512,0,0,0.02066487,0.146322631,0.257339284,0.601884886,0.143777953,0.048031091,0.000639002,0.020918503,0.010362734,0,0.901557375,0.879839902,1,0,0,0,0.784655917,0,0,0,0.051336391,0,0,0,0,0,0
Tacr3,0,0,0,0,0,0,0.033768544,0.167844878,0.000720141,0,0,0,0,0,0,0.010780615,0,0,0,0,0,0,0,0,0,0,0,0,0.0014508,0,0,0,0,0,0.001362346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05571918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.462831943,1,0.027892176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.740333985,0
Oprk1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244212989,0.740766516,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023152833,0,0,0,0.198789966,0.003149818,0,0,0,0.167302605,0.023003617,0.169229103,0.029320459,0.014428425,0.276513075,0.087288388,0.159624341,0.044183912,0.072543529,0,0.506116281,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tacr1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011808656,0.025802694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048889159,0,0,0,0,0,0,0.512432829,0.006397927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.004910075,0,0.05911208,0.007669841,0,0,0,0,0,0,0,0.006542096,0.083995258,0.09228002,0,0,0,0,0,0,0,0.04069385,0,0.016035746,0.014618075,0.14795457,0.24742092,0.604634476
Pth1r,0.0014154,0.000784991,0,0.006066803,0,0,0,0.044629926,0.31790898,0.369167216,0.630704721,0.419192305,0,0,0.014300493,0.068700869,0.020210657,0.176246314,0.177434708,0.162610267,0.222788537,0.149023732,0.155495399,0.065046057,0,0,0,0.114344746,0.201619526,0.422779042,0.079159785,0.096344194,0.136582321,0.149383733,0.235055635,0.132553375,0.741546409,0.796841338,0.657310705,1,0.101385865,0.349356809,0.205907217,0.676523966,0.037496082,0.059258202,0.396477998,0.484572153,0.000477606,0.005040885,0.145098402,0.182194105,0.115170609,0,0.372327605,0.274648059,0.00299468,0,0,0.001282883,0.231815892,0,0,0.19386321,0.12911371,0.171855348,0.216900104,0,0.415514549,0.652594025,0.356146574,0.405407005,0.290599528,0.16739522,0.007301129,0.125915673,0.003088487,0.075508116,0,0,0.043184619,0,0.00025469,0,0.59534107,0.35472674,0.385018487,0.171191469,0.350220735,0.279397903,0.554628923,0.170086885,0.463608708,0.075902552,0.060642514,0.081657646,0.129979538,0,0.227004527,0.070566664,0.289977376,0.056685097,0.07289383,0.429894641,0.652026061,0.774411156,0.75657219,0.50310417,0.803139279,0.568552644,0.87177871,0.8319866,0.461161466,0.41632841,0
Vipr1,0.654461769,0.456202034,0.601577426,0.577216372,0.472173956,0.592123079,0.849363776,0.803902575,0.699327633,0.801797413,1,0.863556385,0.705852097,0.789292826,0.70357618,0.604508042,0.597819459,0.507986697,0.576920639,0.747320682,0.666694159,0.636631747,0.633240156,0.689951384,0.7081034,0.809768278,0.785570109,0.56018275,0.126249655,0.647305065,0.335505297,0.465832678,0.526468405,0.598542198,0.457001133,0.491703306,0,0,0,0.0166651,0.569498548,0.481073371,0.260287042,0.693549237,0.553099903,0.471831986,0.429220611,0.171562515,0.305058829,0.103751398,0.004012342,0.012778701,0.035855773,0.079325617,0.269307097,0.005006665,0,0,0,0,0,0,0,0.000812642,0,0.234767204,0.072039558,0.40018094,0,0,0.005550671,0.001375466,0.002999162,0.048064286,0.030123648,0,0,0,0,0.380118691,0.115937578,0.382344807,0.51908628,0.180742714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004262105,0,0.000518005,0,0,0,0,0,0
Oprm1,0.000834204,0.021922218,0.023331462,0.064795149,0.112600037,0.036395246,0.0887459,0.271374962,0.107873414,0.032755737,0.047092851,0.045042309,0.028546595,0.068978379,0.059138472,0.174831466,0.095213852,0.282059166,0.152943122,0.045680975,0.053961539,0.051568781,0.106942495,0.043516979,0.060908598,0.085161737,0.090502989,0.51705739,0.405342109,0.575490357,0.116263484,0.245616246,0.149001676,0.233116358,0.320093964,0.264076025,0.055553935,0.912216386,0.583588135,0.539734602,0.29598349,0.439115083,0.135317814,0.271315024,0.26459101,0.374357486,0.535265374,0.706912308,0.853629908,0.956998926,0.666195631,0.651549293,0.983041016,0.987949662,0.910469552,0.288243012,0.247610136,0.093761029,0.089804237,0.515871129,0.740993396,0.64525481,0.198722798,0.098492821,0.098687503,0.012778593,0.092533588,0.321552596,0.347324383,0.637865543,0.379245868,0.931195559,0.627989459,0.605453829,0.468316404,0.660481185,0.3106143,0.128480435,0.01911915,0.003981237,0.111648129,0.000241176,0.001518374,0.079001741,0.809650753,0.379170416,0.637782866,0.635351425,0.574955955,0.500596255,0.92889228,0.818837294,1,0.556125385,0.857157276,0.819641905,0.778715989,0.161681924,0.524204472,0.358361457,0.927601775,0.981757041,0.731469714,0.856764344,0.675171672,0.001396462,0.150772145,0.01568202,0.47778448,0.006420013,0.000216447,0.004078568,0,0.530810276,0.788350221
Trhr2,0,0,0.399195417,0.082347427,0.244735323,0.218535125,0.123487893,0.488073507,0.010096052,0.077221846,0.490186209,0.699591485,0,0,0,0,0,0,0.002294632,0.027082083,0.223045508,0.212486547,0.08397215,0.373500289,0.116861152,0.049265378,0.537134519,0.33217655,0,0.4805883,0,0.102522318,0.312813611,0.00345995,0.167714123,0.000867962,0.248911313,0.000665747,0,0.62494374,0.159692917,0.537891436,0.41708301,0.867888656,0.790054376,0.542660378,0.734340616,0.371690951,0.0573889,0.137691198,0,0,0.70712287,0.531152916,1,0,0,0,0.018359724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192462955,0.038773263,0,0.078338439,0.077172154,0.284563022,0.342420904,0,0,0,0,0.198413797,0.119749773,0.175896796,0.042696577,0.047699608,0,0,0,0,0,0,0.019746795,0,0.017445502,0.020751722,0,0.071218137,0.044606815,0
Vipr2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005410305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332395234,0.000581727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Rxfp2,0,0,0.008714299,0.001067995,0.01523089,0.025355639,0,0,0,0.001057745,0.025149283,0,0,0,0,0.000505291,0,0.084855213,0.424450271,0.346896947,0.574761839,0.597563996,0.249844855,0,0,0,0.032295253,0.00391864,0,0,0,0,0,0,0,0,0,0.145050351,0.209602855,0,0.051419497,0,0,0,0,0,0,0.012602667,0,0,0.282948144,0.270276184,0.460348834,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.425106277,0,0,0,0,0,0,0,0,0
Oprd1,0,0.020937866,0.048575637,0.32481971,0.288413299,0.191217632,0,0,0.002670703,0.021811184,0.247654425,0.168289686,0.327624024,0.141697058,0.109387455,0.031195526,0.151250767,0.013715284,0.226863003,0.302605718,0.321795647,0.407554174,0.283592134,0.046686507,0,0.019565438,0.102042738,0.035225151,0,0,0,0,0,0.002739616,0.031477763,0.015012544,0,0,0,0,0.083438977,0.122181088,0.01024874,0.242483989,0.025657581,0,0.020980422,0,0,0,0,0.001335018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.730479949,0.576695735,0.374961056,0.773212798,0.46235692,0.495860568,0.212485756,0.41580675,0.153442,0.346511949,0.654592508,0.407719957,0.718185541,0.705150382,0.800979456,0.522126261,0.551987909,0.624670009,0.512054537,0.310200917,0.470223853,0.641369047,0.862501113,0.824531381,1,0.584487348,0.68817429,0.738216728,0.789098842,0.66357367
Ntsr1,0.275618788,0.601806965,0.056086117,0.115427447,0.027787593,0,0,0.034282031,0,0.055690061,0.672001839,0.363893045,0.205202345,0.003994932,0,0,0,0,0,0.017236227,0.007213142,0.425051051,0.289607752,0.593763139,0.483587157,0.875028675,0.787529285,0.144068605,0,0.342996306,0.020999677,0.362778256,0.673229271,0.000897232,0.045244967,0,0,0,0,0,0.534607176,0.205974095,0,0.476589874,0.488303619,0.394251718,0.341207137,0.725808589,0.739997748,0.575224146,0.482528,0.597520609,1,0.922924247,0.843660854,0.402585025,0,0,0.004518111,0.147018005,0,0,0,0,0,0.040080452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000708966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sstr3,0.620684822,0.411850526,0.723069101,0.618379238,1,0.841294021,0.526019636,0.630098701,0.656262219,0.439491083,0.913184577,0.816436334,0.789865608,0.784413856,0.891823303,0.835654087,0.814039448,0.665285172,0.765079186,0.879516959,0.905744784,0.879464036,0.913470258,0.793301175,0.55714186,0.60099419,0.672551861,0.607813546,0.237010032,0,0,0,0,0.013280388,0.190517482,0.066227392,0,0.00021971,0,0,0.400810177,0.218230463,0.030042139,0.331502685,0.272790387,0.031599109,0.104691511,0.09417852,0.377501783,0.140948375,0.296918786,0.416200753,0.180329249,0.171510379,0.162437494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004279302,0.001854532,0,0.033509102,0.02741676,0.057218416,0,0,0,0.001778722,0.085689645,0.000782003,0.113247091,0.026262132,0.000362128,0.002283989,0.002052207,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5A,CT1,CT2,CT3,CT7,CT8,CT9,CT10,CT11,CT12,CT24,CT25,CT26,CT27,CT28,CT29,CT30,CT31,CT32,CT33,CT37,CT39,CT41,CT43,CT44,CT45,CT46,CT47,CT48,CT49,CT50,CT53,CT54,CT55,CT56,CT57,CT58,CT59,CT60,CT61,CT62,CT63,CT64,CT65,CT66,CT67,CT68,CT69,CT70,CT71,CT72,CT73,CT74,CT75,CT76,CT77,CT78,CT79,CT80,CT81,CT82,CT83,CT84,CT85,CT86,CT87,CT88,CT89,CT90,CT91,CT92,CT93,CT94,CT95,CT96,CT97,CT98,CT99,CT100,CT101,CT102,CT103,CT104,CT105,CT106,CT107,CT108,CT109,CT110,CT111,CT112,CT113,CT114,CT115,,,,,,,,,,,,,,,,,,,,,,
Npy,0.022765026,0.023480379,0.030732313,0.022957935,0.030874756,0.020371261,0.02663877,0.020930249,0.037471543,0.03236098,0.045098175,0.055065109,0.05512206,0.02107322,0.035710998,0.020821802,0.009207243,0.019150877,0.028124494,0.032548086,0.028580946,0.061499792,0.011430754,0.055675625,0.026660812,0.025030254,0.032231127,0.012595823,0.009736208,0.016559117,0.024575776,0.005050278,0.07256766,0.322378419,0.31780258,0.481528643,0.695275702,0.807818323,0.94068237,0.784690744,0.759253567,0.580320497,0.369793393,0.806703585,0.698821477,0.875726396,0.30997983,0.121321207,0.092687158,0.089004131,0.071815504,0.115469906,0.077604772,0.084556987,0.080603238,0.090345807,0.086809672,0.798987283,0.704523338,0.46434341,0.254721385,0.695769578,1,0.755023597,0.787841223,0.814027872,0.822141166,0.817493325,0.775531604,0.842433054,0.610583606,0.55447185,0.184256322,0.642057476,0.571133488,0.762604999,0.854249547,0.863029413,0.884084086,0.469052136,0.392691444,0.448465249,0.852820048,0.547337461,0.765953691,0.577502671,0.72691873,0.57906237,0.15762567,0.271764932,0.045716693,0.640928363,0.26979503,,,,,,,,,,,,,,,,,,,,,,
Sst,0.130564509,0.010650631,0.017531144,0.019894044,0.036671991,0.019905851,0.041073388,0.016872315,0.018702359,0.022113868,0.042394473,0.031141343,0.031759056,0.019947451,0.025513455,0.03545274,0.024954573,0.026403565,0.027913579,0.039029675,0.025835942,0,0.033663952,0.0163482,0.01834163,0.02694332,0.01958177,0.006985437,0.008551831,0.017308163,0.022401548,0.01742667,0.037846391,0.06590254,0.053820984,0.056066117,0.046384732,0.045688316,0.060395531,0.052921405,0,0.077396605,0.082932187,0.072592862,0.066922348,0.082990784,0.055267396,0.070243908,0.05743221,0.071203125,0.067388984,0.070339246,0.059243642,0.036158801,0.034634848,0.051974071,0.044174654,0.0585278,0.06785942,0.052551453,0.058848375,0.048194827,0.988608422,0.859487054,0.755788382,0.763438051,0.921469118,0.959981094,0.873226138,0.950071623,0.862406377,0.92728398,0.920725889,0.908830892,0.907975114,0.91831629,0.942507979,0.971456231,1,0.855999835,0.856245491,0.813626795,0.99855915,0.508136482,0.783268982,0.377081382,0.630227768,0.146372073,0.053206732,0.062282012,0.042705486,0.023385292,0.045107193,,,,,,,,,,,,,,,,,,,,,,
