HE_genes,DE_genes,NP_genes
Ccng1,Sv2c,
Mtx2,Kiss1r,
Ufsp2,A330070K13Rik,
Gabarapl2,Foxo6,
Tmem14a,St5,
Zmynd11,Cspg5,
Thoc7,Frmd4b,
Usp15,Layn,
Tspyl2,A930011O12Rik,
Mrpl30,Mei1,
Chd9,Axin2,
Lgmn,Arhgdig,
Elp5,Plch1,
Fgf9,Tmem144,
Psma5,Teddm3,
Vstm2l,LOC105245295,
Bnip3l,Arhgap6,
Rc3h2,Akr1c18,
Grsf1,Tmem232,
Cdc37,Kremen1,
Cmas,Pou6f2,
Ntrk3,Elmod1,
Cse1l,LOC105244016,
Chn2,Gpr25,
Crk,Frmpd1,
Ptprm,Robo3,
Tph2,Eya1,
5-Mar,Perp,
Lrrtm2,Shb,
Cab39,Tns1,
Parp6,B230216G23Rik,
Kcnab3,Nrm,
Bmpr2,Afmid,
Stam,Bmp2,
Tollip,Slc5a7,
Grpel1,A830011K09Rik,
Ogdh,Csrnp1,
Grpr,Amz1,
Cyb561,5-Sep,
Mrps6,Tcf4,
Trove2,Sgcd,
Elmo2,Cyp11a1,
LOC105245375,LOC105247151,
Ubn2,Ntn4,
Mpi,Klhl1,
Dennd6b,D16Ertd472e,
Fam168a,Csrp2,
Trim32,Uchl5,
Brms1l,LOC105242595,
Cdc37l1,Rftn1,
Reep1,Abca1,
Dmxl1,Evc2,
Lrp1b,Tbc1d4,
Lrrtm4,Tuba4a,
Rbbp4,Vat1,
Slc17a6,Slc35f2,
Spag7,Sptssb,
Rab28,Sfmbt2,
Magi1,Pfkp,
Tspan2,Syt9,
Cpne9,Gng13,
Hnrnpd,Gsk3a,
Shisa9,Spsb2,
Gpr88,Clec18a,
Arl8a,Abhd2,
Stxbp2,Aldh3b2,
Ap3b2,I830012O16Rik,
Svop,Xylt1,
Sdhc,Alox12b,
Rplp0,Ctxn3,
Erp29,Olfm1,
Slc1a1,Cnih2,
Ppp6c,Xaf1,
Rasl11b,Fst,
Orc3,Cacnb4,
Tpgs2,Jsrp1,
Smpd1,Slc29a4,
Ryr2,Calca,
A730017C20Rik,Nrp2,
Mtf2,Lppr4,
Ndufaf4,Fkbp11,
Tpm3,Chga,
Ptprn2,Tcirg1,
Romo1,Pdgfc,
Sybu,Ctsk,
Lonrf2,Sik1,
Wasl,F2r,
Ankrd17,Chst7,
Hdac3,Aqp5,
Slc25a17,Rasa4,
Clip1,Wtip,
Stard3nl,Rab3il1,
Il1rapl1,Slc38a4,
6-Sep,Oprd1,
Tmem126a,Btg3,
Fam63b,Fgf12,
Rnf115,Rxfp3,
Psmb7,6530411M01Rik,
Rer1,LOC105246577,
Taf9,B3gat2,
Iqcb1,Fam20a,
Ube2a,Impa2,
Camkk1,Scn9a,
Arhgap32,Tspan5,
Pcmtd1,Nrsn1,
Cacng5,Arxes2,
Yipf4,Stat4,
Calu,Sh3bp4,
Chrm2,Col11a1,
Sdf2,Slc6a17,
Utrn,Tnfaip6,
Prss12,Soga1,
Cpne4,Vegfc,
Iars,Hcrtr1,
Tmem70,LOC105243924,
Cdk14,Barx2,
Pdzd11,Sncaip,
Itm2a,Ddr2,
Acap2,Cda,
Tomm20,Lima1,
Hnrnpab,Sash1,
Whsc1,Spsb4,
Ap2a2,Muc15,
Adprh,Cd200,
Kcnh7,Rit2,
Haghl,Lemd1,
Tmem60,Tbc1d16,
Hp1bp3,H2-K1,
Ckap5,Syndig1l,
Csrnp3,Fzd1,
Hdhd2,Asns,
Plekha5,Clmn,
Mef2a,Nhsl1,
Polb,Smim1,
Gnpda2,LOC105244192,
Pgk1,LOC105247131,
Eps8,Mustn1,
Ccnc,D930048N14Rik,
Atg12,LOC105242543,
Nsmce4a,Kctd13,
Lin7b,Kcnh4,
Htr2c,LOC102637959,
Nalcn,Plekha4,
Ptdss1,LOC102635707,
Dync2h1,Itga7,
Chmp2b,Zhx2,
Hook3,Tpm1,
Gng12,Cdipt,
Ip6k1,Ngb,
Tmtc4,Efemp1,
Fndc4,Omg,
Mapk8ip3,Scara3,
Mprip,Stard9,
Gm26871,Ntrk2,
Stx1b,Creb3l2,
Surf1,Gnb5,
Cisd2,Creb3l1,
Fam135b,Ifih1,
Cpeb4,Cacng2,
Fstl4,Marveld1,
Arhgap20,Ndrg1,
Gmps,Tmco5,
Oprm1,Cacng4,
Kifc2,Cfap45,
Peg13,Nexn,
Golga4,Nckap1,
Rdx,Wipi1,
Abhd16a,Hist1h1c,
Cep170,Anxa11,
9530068E07Rik,Il4ra,
Clptm1,Tsc22d1,
Trappc13,Nap1l5,
Arf5,LOC105242740,
Tpm2,8030453O22Rik,
Kdm7a,BC006965,
Slc2a3,Fam84b,
Fam163b,Rhoc,
LOC105246694,Fam189a2,
Ppp2r2c,Fgf18,
Bcar3,Esam,
Arhgap15,Rnf138rt1,
Pbx3,Zfp296,
1110059E24Rik,Klhl25,
Oat,Kcnn3,
Abcc5,LOC105244904,
Pbrm1,Cmip,
Gpatch8,Stk32a,
Rplp1,Nap1l2,
Hexa,Adamts8,
Kat7,LOC105244586,
Fbxo44,1700028P14Rik,
Ap3d1,Col16a1,
Cwc15,Olfml2b,
Gm3764,Llgl2,
Fbxo33,Epdr1,
Kif5a,Pstpip1,
Abhd6,Rtn4,
Cbr1,Fbln5,
Pias1,Cdc42ep5,
Ranbp2,Stard13,
Rangap1,LOC102634072,
Camkk2,C1ra,
Dgkz,Plaur,
Dhx15,Nmnat2,
Sgip1,Dap,
Aarsd1,Cntn1,
0610012G03Rik,Epb4.1l4a,
Ap4s1,Cfap46,
Brcc3,Gpr151,
Wdr33,Fam49b,
R3hdm4,Peg10,
Med10,Cdca7,
Kirrel3,Gpr6,
Fam69b,Tmem40,
Slc30a9,Tnfaip3,
Umad1,Gpr115,
Ppp2r2a,Pdlim7,
Prelid1,LOC105246832,
Bod1,Map3k1,
Rab24,4833415N18Rik,
Stard7,Sema3f,
Lypla2,1700019L22Rik,
Prrt2,Tspan11,
Cul3,Scn1b,
Cntn6,Kcnk13,
Casc4,Mia,
Hdgf,LOC102642556,
Zfp292,Ptger4,
Wdr45b,Sv2a,
Agtpbp1,Trim17,
Mrpl41,D030054H15Rik,
Mpdz,Scn2b,
2510009E07Rik,Ankrd63,
Tiparp,Btn2a2,
Sqle,Cflar,
Fndc3a,Mmel1,
Lhx6,Pdlim5,
Gabra2,Prkd1,
Sltm,Uchl3,
Wdr61,Prex2,
Syt17,Elavl4,
Tmco1,Mgst3,
Sptbn2,Sla2,
4930452B06Rik,Bcl2l11,
Dcaf7,Sfrp1,
Slc5a5,Igfbp2,
Phlda1,Fam114a1,
Pcm1,Islr,
Cdh6,Vcan,
Lztfl1,Hes7,
Btbd11,Cdkn1c,
Polr2c,A830029E22Rik,
Cars,A630023P12Rik,
Tceal3,LOC102638890,
Usp22,Plin2,
Dnajc6,Raver2,
LOC105245838,Pdlim3,
Kbtbd2,Pkig,
Bub3,Nmb,
Reep2,Fam163a,
Ntan1,Fibin,
Polr3k,Cwh43,
Rps25,Tmbim1,
Ndufab1,Ezr,
Fmr1,Doc2g,
Rabl2,Fabp5,
Lrrfip1,Igsf10,
Synj2bp,Bex1,
Pds5b,Grhl3,
Eif3h,Gpc3,
Brd9,Kirrel,
Csnk2b,Inhbb,
Tacc1,Syde1,
Lcmt1,C1qtnf1,
Ankrd45,LOC102633724,
Usp5,Pax6,
Ago3,D030068K23Rik,
Tmed9,9430085M18Rik,
Mea1,Ncdn,
2410015M20Rik,Apbb1ip,
Smc3,2610318N02Rik,
Cyb5r3,Palld,
Isca1,Zfp459,
Vwc2l,Elovl2,
Shisa5,LOC102639456,
Tmem256,Ppfibp2,
Cyb5r1,Apbb1,
Arcn1,Cdca8,
Tcrb,Plod2,
Cyr61,Tgfbr2,
Hars,Colgalt2,
Ube2k,Ccdc122,
Tmem9,Ret,
Rspo1,Sec16b,
Plxna4,Abcb1b,
Zdhhc2,Scnn1a,
Kpna3,Trpv6,
Mrps17,Zfp618,
Ddrgk1,Chgb,
Madd,Adamts15,
Vimp,Ch25h,
5830428H23Rik,Nrn1l,
Gss,LOC102631735,
Pcmtd2,Dmtn,
Nampt,Gstt2,
Top2b,Sez6l2,
Scfd1,Cbr3,
Hook1,Ctnnd2,
Mrpl28,LOC105244779,
Hspbp1,Clu,
Banf1,Ppap2b,
Agpat4,Trhr,
Trpm7,Plp1,
Hopx,Mylk3,
Arhgef4,Ntsr1,
C1qbp,Sebox,
AW551984,Vax1,
Eif4g3,Bccip,
Emc3,Actl6b,
Stt3b,Onecut2,
Hs6st2,Scd1,
Pttg1,Adra1d,
Snapin,Obscn,
Zfp329,Tubb3,
Dennd5b,Tbc1d2,
Gm1821,Pea15a,
Htatsf1,Prkce,
Gadd45g,Crispld2,
Dtx3,Aig1,
Tbr1,Neb,
Vps26a,Spink8,
Il34,LOC105244137,
Arl6,Agmat,
Pid1,Otx1,
Gfra2,C2cd4c,
Trappc1,Rab27a,
Tiprl,Ppp3ca,
Klhl40,Slc18a3,
Mkks,Lgals3bp,
Casd1,Cadm1,
Pdlim1,Zfhx4,
Hist1h2bc,Ptprn,
Hnrnpr,Ostn,
Lnp,9630002D21Rik,
Gm34583,Rnf208,
Sulf2,Bace2,
Dlst,Nkd1,
Acsl6,Cox7a1,
Cyp51,Asb2,
Sostdc1,Cd59b,
Ttyh1,Scml4,
Pex5,Ace,
Apoa1bp,LOC105246668,
Mmadhc,Olfr316,
Apba2,Dynlrb2,
Ssr2,Anxa2,
Sun1,Ldlrad3,
Btrc,Syt4,
Plekha1,Prss35,
Sec23a,Atp8b1,
Rundc3a,Itga9,
Chm,Ncam1,
Flot1,LOC102640933,
Grb2,Mypn,
Mapk3,Trhr2,
2900097C17Rik,Th,
Thrb,Ccna2,
Sap18,Slc12a5,
Dync1li2,Pth2r,
Maf1,Tesk2,
Xpo1,Prtn3,
Ppp2r5c,Fam171b,
Sntg1,Mmp11,
Nsmf,B230209E15Rik,
Cyhr1,Ccl27a,
Arhgdia,Mdga1,
Cnot2,P2rx7,
Blmh,A730090N16Rik,
Ggt7,Gfra1,
Gphn,Mapk10,
Xkr4,Traf4,
Mgrn1,Ucp2,
Mblac2,Pter,
Eif3l,Plcz1,
Gm7308,8030451O07Rik,
Gtf2b,C1qtnf4,
Tm2d1,Siah3,
LOC105246327,Ecel1,
Atg3,Rmst,
Bmyc,Mir344g,
Klf9,Tspan15,
Dtnbp1,Vsig2,
Sc5d,LOC105246093,
Emb,Dclk1,
Mfn2,Tmem176a,
Zfp644,Ckmt1,
Guf1,Tusc3,
Pnmal1,Bglap3,
Pnpo,2010001A14Rik,
Uba5,Baiap3,
Zfp148,Nt5e,
Ctxn3,Slc13a5,
N6amt2,Gpr37,
Dcun1d5,Pkp2,
Sipa1l1,Ccna1,
Vldlr,Cenpu,
Rab10,Fndc1,
Supt20,2900041M22Rik,
Anapc11,Nfe2l3,
Fbxw2,Abtb2,
Smarcb1,Ppap2c,
Znhit3,Rgs5,
Khdrbs1,Mir132,
Psme1,Dcxr,
Srp72,Prkcq,
Golph3,Rtp4,
Lin7c,BC061194,
Eif3m,Prph,
Luc7l,Slc35d3,
Adh5,5031414D18Rik,
5330434G04Rik,Frem1,
Rpl18a,Sphk1,
Pdlim7,Podxl,
Cetn2,6430571L13Rik,
Mrpl50,Tspan13,
Fbxo11,Etv4,
Ptchd4,Colq,
Hmgcr,Cpxm2,
Trim35,Ikzf2,
Aqp5,LOC102634300,
Abi1,Xkr7,
Rpl32,Mir129-1,
Nucks1,Mc4r,
Nr1d2,Ndst4,
Prpf40a,Rln1,
Dcaf12l1,Tnfsf13b,
Nudc,Inpp5d,
Rps27a,Snap91,
Acsl5,LOC105243280,
Tbrg1,B130024G19Rik,
Fnta,Ocm,
Abcf3,Cadps,
Fkbp1b,Gstm5,
Ccdc132,Glipr1,
Hypk,Lat2,
Ptbp2,Syn1,
Slc18a3,Gas1,
Spire1,Serpinf1,
Becn1,Ndp,
2410089E03Rik,Fabp7,
2610301B20Rik,Vrk2,
Ssr3,Tmod2,
Gcsh,Mkrn3,
Nr3c1,B230206L02Rik,
Sorcs1,Stc1,
Atrn,Esr1,
Polr2b,Adamts5,
Snx16,Sox18,
Tmem132b,Htra4,
Hs3st1,Shisa2,
Ncbp2,Pclo,
Rnf167,Galnt10,
Golgb1,Ano5,
Trim23,Sult4a1,
Fosl2,Fgfr2,
P4hb,Thbd,
Mpc1,Adamtsl5,
Vcp,LOC105246453,
Fam213b,Bag3,
Smek2,Igsf9,
Fam81a,Adamts6,
Glg1,Tmem200c,
Ice1,Chrna2,
Seh1l,Kif23,
Ubl4,Lst1,
Nebl,LOC102635783,
Rhot1,Gpr126,
Pum2,Prrg1,
Fam168b,Phldb1,
Glrx5,1190005I06Rik,
Tbca,Syn2,
Ccdc124,Twist2,
Eif2s3y,Syngr3,
2610008E11Rik,Urah,
Slc39a6,Acvrl1,
Coprs,Aurka,
Nt5dc2,Gabrg2,
Chchd4,Dab2,
Lrrc3b,Pld3,
Snx17,Arpc1b,
Grm1,Hmgn2,
Mapre1,Olfr78,
Hnrnpll,Swap70,
Nufip2,Rgs7bp,
Ccne1,Tmem114,
Eif4a3,Sh3bgrl3,
Dcun1d4,Map2,
Lect1,Spata1,
Ephb6,Ptgs2os,
Psmd5,Kcnd3os,
0610010F05Rik,Dnah9,
Samd12,Atp2b2,
Snapc3,Filip1l,
Tada1,Srpx2,
Cfap20,Baz1a,
Usp34,Mfge8,
Pcyt2,Gpx8,
Dek,Myt1l,
Dpy30,A930029G22Rik,
2700029M09Rik,Gpr52,
Ipo9,Ppp1r3c,
Plekhb1,Trabd2b,
Thrsp,Stk17b,
H2afy,Tagln3,
Rnf181,Myh8,
Zfp280d,9330158H04Rik,
Top1,Slc17a8,
Rps9,Ifit1,
Actl6b,1600029O15Rik,
Nsd1,Stk32b,
Epb4.1l2,Aldh3b1,
Akap8,Prokr2,
Dnajc15,Acy3,
Zrsr2,Lipg,
Dcx,Btbd17,
Tbce,Tax1bp1,
Ubr1,Pln,
Skiv2l2,Ltbp1,
Manf,Shc4,
Api5,Kif21a,
2-Mar,Spock2,
Idh1,Lrrc74b,
Fbxo25,1700001L05Rik,
Vps25,Agtr2,
Sel1l3,Cldn10,
Bbip1,Necap1,
Mkln1,Adamts16,
Lrrk2,Ppa1,
Thoc1,LOC105245718,
Cxadr,Bmpr1b,
Slc17a8,Fbxl22,
Tvp23b,Chrna3,
Nipsnap1,Chat,
Nmd3,Rgma,
Tom1l2,Smoc1,
Sgtb,Evi2a,
Mrpl18,Diap3,
Zhx1,Enpp5,
Prmt8,Dysf,
Lypla1,Camk2b,
Npas3,Slc40a1,
Amn1,Fut10,
Nlk,B930082K07Rik,
Glrx3,Strbp,
Smc1a,Otof,
Prr13,Ntn1,
Ggps1,Ahnak,
Pdxk,Dnah7b,
Lynx1,Col8a1,
Celsr2,BC028528,
Lphn3,Gja4,
Snw1,Rab39,
Ptprk,Slc15a2,
Bin1,Cyp26b1,
LOC102634481,Cx3cl1,
Usp7,Stmn1,
Nono,Lpcat2,
Lmbrd2,Capn3,
Pi4ka,Gpr4,
Mllt4,Gpc5,
Nfu1,LOC102640985,
Sfrp2,Glrb,
Zcrb1,Myh1,
Rilpl1,1110054M08Rik,
Dock4,Ccnjl,
Fyn,Syt1,
Ddx50,Sgsh,
Wdr77,Mlf1,
Zmym2,Endou,
Prosc,Gprasp1,
Mapk11,Pak4,
Hap1,Rnf14,
Lonp2,Adamtsl1,
Crebrf,Proser2,
Rabep1,C1qtnf2,
2210018M11Rik,Adam18,
Slc35f1,Scgn,
Qrfpr,Ptpn20,
Gnl2,Trh,
Sncb,Inppl1,
Epb4.1l1,Padi2,
B230118H07Rik,2500002B13Rik,
Pde4dip,Degs2,
Wnt5a,Lgr5,
Hspa12a,Amot,
Zfp637,Gjc1,
Akap5,Ahi1,
Trip12,Sln,
Rfk,Pltp,
Zc3h13,Clic1,
Zfp536,Entpd1,
Klf10,Col9a3,
Timm10,Fam107a,
Uhrf1bp1l,Tnni3k,
Gps1,Trim36,
Tceal5,2010320O07Rik,
Ctxn2,Zfhx3,
Rragc,BC089491,
Dync1i2,Grb7,
Birc6,Nxph4,
Cand1,Tspyl4,
Rbm6,Uchl1,
Scaper,Rgs13,
2310036O22Rik,LOC102642041,
Dctn1,LOC105244376,
Pak1ip1,Fam159b,
Tbl1x,Myo3b,
Fam92a,Agt,
Mrpl35,Cpm,
Rala,Map7d2,
Arl1,LOC102636808,
Prkca,Sumo3,
Hspa4,LOC100503142,
Btbd1,Tssk6,
Acadsb,Carhsp1,
Ap1m1,Tll1,
Tkt,Tfpi,
Dnajb11,D830030K20Rik,
Ugp2,Rhog,
Map1a,Selm,
Amer2,LOC105245826,
Nacc2,Krt80,
Dlat,Mmp15,
Chka,Osr1,
Rab11b,2900011O08Rik,
Ccrn4l,Klhl14,
Zcchc17,Mab21l1,
Sugt1,Cav1,
Ube2j1,Stbd1,
Zfp322a,Gpnmb,
Usp29,Ly6h,
Nol4,Pcolce2,
H2-D1,Figf,
Tomm6,Dnah14,
Abcf2,Bcam,
Cpne8,Atp1a3,
Tmem199,Tmem198b,
Ufc1,4921511H03Rik,
Cnot4,Tnmd,
Rgs16,Prc1,
Rchy1,Cercam,
Col24a1,Aspg,
Camsap2,Tmem88b,
Grin1,Edn1,
Chd6,Ppp3r1,
Medag,Nsg2,
Cdc16,Abhd11os,
Mageh1,Copz2,
D8Ertd738e,Napb,
Jkamp,Ank3,
Tmem184c,Sgip1,
Rab3gap2,Pde3a,
Ddb1,Vgll3,
Bccip,LOC105245926,
Ptpn2,Klf2,
Rab5a,Tmem37,
Tor1aip2,Cend1,
Psmg2,Bank1,
Slmo2,Lama3,
Wfs1,Got1,
Actr6,Fbxo47,
Mrpl13,Sftpc,
Ccndbp1,Dlgap1,
Gfra4,Kif5c,
Stoml2,Shroom3,
Kctd17,Prkd3,
9430020K01Rik,LOC105244450,
Cstf2t,Syngr1,
Rnmt,Shisa3,
Emc6,Pacsin1,
Ehd3,Phyhipl,
Tpp2,Hist1h4h,
Fto,Anks1b,
Adss,Tmie,
Ttc19,Kcna5,
Rnf34,G630016G05Rik,
Rhbdd2,Stmn2,
Bag5,Sbspon,
Tnrc6a,Mir344f,
9930021J03Rik,Ifi35,
Nkrf,Hmgn3,
LOC105243542,Npc1l1,
Plrg1,Rogdi,
Ctnnd2,Deb1,
Tnks2,Postn,
Sms,Gpt,
Sdc2,Thy1,
Smg1,Mylk,
Mbp,Id1,
Cry2,Meg3,
Mapk6,Samd9l,
Psmb3,Clrn1,
Rnf114,Cachd1,
Tmem91,5930412G12Rik,
Anapc16,Drd5,
Rasa1,Col15a1,
Usp47,Cth,
Kcnd2,Caps2,
Ift81,Tgm3,
Rtn4rl1,Rundc3a,
Dus3l,Lacc1,
Os9,Pla2g5,
Eif5b,Krt77,
Tcerg1,LOC105243540,
Fam120b,Lrrc10b,
Asphd2,1810011O10Rik,
Hat1,Ndrg3,
Ier3,Metrn,
Amfr,Chrnb3,
Csmd1,Plb1,
Hiat1,Crhr2,
Lsm6,Theg,
Slc25a27,Prox2,
Srrm4,C1qtnf7,
Eif3d,Cystm1,
Creb3,Cd44,
Aurkaip1,Aldh1a7,
Qk,Dmrt2,
Arhgap21,Celf2,
Gm10419,Slc7a11,
Dnajc10,LOC105244845,
Cntnap4,Lcp1,
Lrfn5,Hpgd,
Gt(ROSA)26Sor,Fbln7,
C730002L08Rik,Krt9,
Nol7,A730056A06Rik,
Ndufaf7,Tacr1,
Pde11a,Trem2,
Vma21,Ucma,
Cttn,Snai2,
Ccpg1,Wnt16,
Kcnn2,Unc5b,
Ttll1,Mir568,
Maged2,Ets1,
Rapgef5,Kif1b,
Cdk16,Sf3b1,
AW209491,Irf8,
Cdh8,Col23a1,
Zranb1,Npffr1,
Hipk3,Wdr66,
Ctsa,Ptger2,
Prpf8,Oprk1,
Gfpt2,Amdhd1,
Tnpo3,4632428C04Rik,
Mturn,Cenpe,
Rnf5,Emid1,
Nxf1,Myh4,
Pdk3,LOC105243891,
Klf12,Scp2-ps2,
Cstf2,Krt20,
Msra,Ptplad2,
Fam150b,Podn,
Zfp804a,Lpar6,
Smim15,Hfe2,
Sobp,Mmp9,
Extl3,AI413582,
Slc30a4,Cd52,
Wbp11,Ctsc,
Arhgef28,LOC102634296,
Wdr7,Gdpd2,
Wdr12,Nlrp6,
Snx14,Dpyd,
Mpv17l,Psmd7,
Rapgef6,Rufy3,
Cdkn2d,Nbeal2,
Ifit2,Rxfp2,
Nup88,Hspb8,
Dpm2,Sema3d,
Gmpr,Ank2,
Cpt1c,Myh13,
Eepd1,Sncg,
Ddx46,Dnm1,
Zcchc7,Fam69c,
Bptf,Serp2,
Ric3,Ccbe1,
Dhrs1,4930500J02Rik,
Sox6,Nrxn1,
2610002M06Rik,Hbq1b,
Dgcr6,Plekhg1,
Nbr1,Cbr1,
Zkscan16,4933427G17Rik,
Rgl1,Mt3,
Klhl23,Birc5,
Pdhx,Pmm1,
Fcho1,Cdh24,
Matn2,Paqr5,
Zfp941,Scoc,
Unc5c,Tuba1c,
Chchd3,Rtf1,
A530058N18Rik,Chodl,
Lzts3,Idh3a,
Klf6,Emilin2,
Mapk8,Pou3f4,
Vps13a,Col14a1,
Hjurp,Rab6b,
Eif2s2,Cdhr1,
Rps6kb1,Grxcr2,
Iqsec3,Lhfpl2,
Ccdc186,Macc1,
Hibadh,Pdlim2,
Sypl,Tekt1,
Dbn1,Aplp1,
Vezt,Ptprs,
Kcnd3,Tspan18,
Anxa7,Vim,
Arid4a,Gulp1,
Ccdc25,Lair1,
Setd2,Rnf122,
Actr2,Clic5,
Rpl14,Tmem204,
Dbndd2,Maml2,
Ttc7b,Dkk2,
Lrp1,A930011G23Rik,
Apoe,Rarres1,
Ptcd3,Prss16,
C2cd5,Slc25a13,
Vps13c,Kank4,
Ipo5,LOC105245003,
Nr1d1,Prepl,
Ppp5c,Klk8,
Rpl23,Rrad,
Jakmip2,Nsf,
Pgm2,Vsnl1,
Gabra3,3110079O15Rik,
Ano4,Pcsk1n,
Trpc6,Adamts18,
Anxa2,Acaa1b,
Atox1,Dio2,
Ddt,Bnip3,
Txndc16,Mndal,
Foxp2,Ccdc88b,
Sra1,Spc25,
Rnh1,Arhgap19,
Commd4,Cyp2c52-ps,
Tmem56,Itih5,
Ubqln2,Entpd2,
Psmd13,Arhgef39,
Rbbp9,Arhgef10,
Bckdhb,Notch3,
Rps3a1,Cmtm8,
Cers5,Rspo4,
Glrx,Pmfbp1,
Mtfr1l,Pmp22,
Opa1,Ccdc141,
Snrpe,Doc2b,
Rock1,Dach1,
Paxbp1,Eno2,
N4bp2l2,Hspb2,
Gnptg,Phldb2,
2310061I04Rik,Apod,
Rps27,Stmn1-rs2,
Rps13,Mctp2,
Rbbp6,Rassf4,
Poglut1,P2ry14,
Cidea,Wwtr1,
Secisbp2l,Aebp1,
Zfp655,Tacr3,
N4bp2l1,Helt,
Syt7,Cd200r1,
Arhgef3,Ppp1r18,
Rexo2,Sdsl,
Qrich1,Samd3,
Lamtor2,LOC102641120,
Erp44,Mir344i,
Terf2ip,Gnao1,
Cntnap5c,Cdkn3,
Sh3glb2,Fez1,
Trhr,Aif1,
Creg1,Neat1,
Ifitm2,Map1b,
Dbi,Apcdd1,
Map4k3,Otop2,
Ddx39b,Basp1,
A230046K03Rik,Slco5a1,
Prkag1,4930426D05Rik,
Ankra2,Hpgds,
Rps4l,Cbln1,
Tmem200a,Scrg1,
4833420G17Rik,Ffar4,
Cstb,LOC105242741,
Sec13,LOC105246377,
Chrna5,Prkar1b,
Zdbf2,Stac,
Lrp8,Bicc1,
Zfp60,Gldn,
Cep70,Htr1d,
Fnbp4,LOC105243198,
Gtpbp4,Nr1h3,
Igsf3,Itpr2,
Zdhhc20,Tceal6,
Ergic2,A930003A15Rik,
Pitpnb,Frmd7,
0610037L13Rik,Ptk7,
Gm30620,Myzap,
Mrpl49,Myl1,
Dusp3,Daam2,
Fam174b,LOC105242594,
Fuca2,Uchl1os,
Pxk,LOC102643175,
Tiam2,Slc16a4,
Ilkap,LOC105243894,
Arhgap12,LOC105243525,
Mrpl55,Lrg1,
Ankhd1,Cd72,
Ctps,Bst2,
Ramp3,1700034G24Rik,
Ctbp1,Sh3bgr,
Mrpl48,Mfap4,
Synj2,Kiss1,
Slc25a36,Rnase4,
Tasp1,Acot13,
St6gal2,Npsr1,
Nop58,Abra,
Sdccag3,Snhg11,
Krtcap2,S100a3,
Polr2e,Ocln,
Lztr1,Sparc,
Fam69a,Kif1a,
Pias2,Rbp1,
Ube2q2,B3gnt8,
Nmnat2,Prdm1,
Prpsap1,Cox6b2,
Lmtk2,Litaf,
B630005N14Rik,P2ry1,
Prickle2,Lama2,
Rasd2,Slc1a3,
Mrps18a,Scml2,
Kcnh1,Adamts2,
Kcnj9,Kif20b,
Ptpre,Spp1,
Ppp2r2d,Gad1-ps,
l7Rn6,LOC102238518,
Yipf5,A330008L17Rik,
Impad1,Chd3os,
Gapvd1,Pappa2,
Rpl9,Gxylt2,
Ncam2,Anln,
Pkib,E130215H24Rik,
Taldo1,Chek2,
Brix1,Tmem125,
Mxi1,Aplp2,
Nr4a3,Disc1,
Cdc5l,Eno1b,
Slc35a5,Grin2b,
Lrch3,Sptbn1,
Pex13,Tspan7,
Cog6,Prnp,
Lgi2,LOC105246514,
Dnajc27,Itgb5,
E2f6,Cilp2,
Mcoln1,Zim1,
Gm14204,Fbln1,
Nmt1,Hpse,
Tmem135,Ugt8a,
Taf9b,Cyp1b1,
Usp32,Shank1,
Serp1,Gsx2,
Ccdc127,Arpc5l,
Kcns3,0610040J01Rik,
Tmem234,LOC105245925,
Sdhaf2,Fgfr3,
Ctps2,Npdc1,
Orc5,LOC105246064,
Zfp788,LOC105246787,
Rab2b,6530402F18Rik,
Hccs,BB557941,
Nmbr,LOC105246359,
Ppfia2,Nckap5,
Adrbk2,Tagln2,
Lamtor3,Avpr1a,
Gm32337,Tdo2,
Actr1a,Pgrmc1,
Smc2,Mob3b,
Rbm4b,Prodh,
Ttc1,Cpo,
Agfg1,Lims2,
Ifi27,Clnk,
Clec2l,Cd74,
Nprl2,Dbx2,
Pde4d,Celf4,
Fam19a5,Tcte1,
Dleu7,Cnn2,
Dnajb14,5830416P10Rik,
7-Mar,Sgol2a,
Mrpl39,LOC105243544,
Rabif,Cpa6,
Coq2,Serpina12,
Txndc9,Emp2,
Ccni,Apoh,
Ppm1h,Adam12,
Cnot8,Prom1,
Myadm,Drd2,
Por,Nsg1,
Ncaph2,Tnc,
Vps16,Itpkb,
Txndc17,Cdc20,
2610203C20Rik,Nkiras1,
M6pr,Prickle3,
Fam160a2,Cldn23,
Fam179b,Efcab13,
Gdap2,Col6a4,
Klhl22,Psmb7,
Chac1,Gipr,
BC003331,Ghitm,
P4htm,Parvb,
Vwc2,3110007F17Rik,
Med14,Gria2,
Gnl3,Bmp4,
Rif1,Ccnb2,
Cntnap5a,Pde4c,
Hmgcll1,Tubb4a,
Leprotl1,Hbq1a,
Rmnd5b,Smtn,
Prpf6,Chchd10,
1110032A03Rik,Itga11,
Tet2,Atp1b1,
Ocrl,Retn,
Rps24,LOC105242586,
Ostm1,L3mbtl4,
Slc6a15,Eid1,
Mir22hg,Snora30,
Ppil2,LOC105243914,
Exoc5,Art3,
Uqcc1,Cuzd1,
Actr8,1500011B03Rik,
Fmo1,Ldhb,
Dnajb5,Arhgef26,
Ankrd10,Hapln2,
Pcdhb9,Snrpc,
Meaf6,Serpind1,
Lppr3,Ywhag,
Phf20,Mir135a-2,
Pgam5,Rassf10,
Adnp,Mapk13,
Usp48,Timp4,
Bai2,Cnksr3,
Usp9x,H60b,
