HE_genes,DE_genes,NP_genes
Sh3bgrl3,Fjx1,
Chchd2,Plxnc1,
Uqcr11,Lingo2,
Erc2,Lppr1,
Csmd3,Ell2,
Ndufs2,Blnk,
Gnb5,Dpp10,
Gars,Bid,
Ndufa5,Snx25,
Tmx2,Sox6,
Trp53i11,Tmeff1,
Stx1a,Smpdl3a,
Rabac1,Chid1,
Slc8a1,Ier3,
Dnajb1,Mapk3,
Elavl4,Klhdc8b,
Ndufa3,Abracl,
A330076H08Rik,Acadm,
Sgk1,Pcsk2,
Eif1b,Ptprr,
Ptgs2,Rgs6,
Psma1,Cd83,
Paip2,Igfbp3,
Nrcam,Mxra7,
Atp5g1,C1ql3,
Cav2,4-Sep,
Stip1,Gadd45a,
Pcsk1,Gfpt2,
Tceal8,Cdk14,
Nrep,Cartpt,
Rac1,Hrh1,
Ndufa10,Pts,
Ifrd1,Twsg1,
Marcks,Cbfb,
Col19a1,Chrm1,
Rock2,Grasp,
Crym,Bai2,
Necap1,Ctnna1,
Syt5,Nr4a2,
Nptx2,Hrh3,
LOC102631912,Pcdh20,
Nek7,Slc7a14,
N28178,Sorl1,
Tshz2,Plxdc2,
Eif5a,Dmd,
Atp1a1,Dcx,
Rnf187,Kcnc4,
Calr,Man1c1,
Erbb4,Kctd6,
Cd164,Hopx,
Mpc2,Extl1,
Caln1,Zfp804a,
Hs3st2,Itgav,
Ckmt1,Kcnc1,
Oxct1,Grik3,
Faim2,Ciart,
Higd1a,Cdc42ep3,
Sptbn1,Ociad2,
Tceb1,Qk,
Cacng3,Fam163b,
ND6,1700019D03Rik,
Lypd6b,Gnal,
Pcdh9,Itpk1,
Rims2,Dennd4a,
Pdhb,Chst1,
Ndufa1,Pdlim1,
Vti1b,Wipf3,
Nap1l1,Cygb,
Cxx1c,Tle1,
Cacna2d3,Zdhhc22,
Zfp207,Kcnd2,
Zfr,Zdhhc14,
A930011O12Rik,B3gnt2,
Vps29,Hs3st4,
Dnm3,Rcan3,
Zmat4,Inpp5j,
Rbx1,Gca,
Prss23,Tnfrsf21,
Snx10,Cdh11,
Rab11a,Slco3a1,
Dstn,Bend5,
Sult4a1,Kcna1,
Csnk1a1,Isoc1,
Slc2a13,Klf5,
Scamp1,Doc2a,
Neto2,Slc24a2,
15-Sep,Fam124a,
Slc12a5,Lmo7,
Kcnip3,Klf7,
Cct5,Plxna4,
Dlgap1,Mcat,
Ralyl,Ldlrad4,
Hpcal1,Pdzd2,
Selm,Ngf,
Ephx4,Pnpo,
Enpp5,Mb21d2,
Ramp1,Epb4.1l2,
Rprm,Igfbp5,
Gpr22,Slc35f1,
Ube3a,St3gal6,
Tubb4b,D630045J12Rik,
Camk2b,Pcdh7,
Ndufb6,Cntn3,
Ncl,Grin2a,
Ube2e3,Hnmt,
Ppp1cb,Mmp16,
Ncam1,Egfl7,
Kif1b,Tfrc,
Hivep2,Zeb1,
Gpsm1,LOC102633357,
Pebp1,Cxxc4,
Ralgapa1,Nppc,
Psmb2,Rgs20,
Arf3,Iqgap2,
Psmd14,Miat,
Syt13,Kcnh3,
Rpl4,1-Mar,
Rpp25,Sntg1,
Ccnh,Kcna4,
Psmb6,Zfp811,
1500011B03Rik,Fam102b,
Tubb3,Chst12,
Ptprz1,Prr16,
AI593442,Gpsm1,
Mtfp1,Mt1,
Fam3c,Cntnap5c,
Homer1,Fam149a,
Mapt,Unc5c,
Rufy3,Pde1b,
Ank3,Tmem158,
Lin7a,Pak7,
Nbea,Cacnb2,
G3bp2,Ccnd2,
Rapgef4,Ak4,
Nxph2,Fah,
Myt1l,Gstt1,
Sema3e,Coro6,
Enc1,Tenm4,
Uchl3,Fut9,
Egr4,Sowahb,
Kcnv1,Lhfpl5,
Pomp,Fgf11,
Arl4a,Cdkl5,
Cntnap2,Dusp10,
Gsto1,Mid2,
Tusc3,Grip1,
Vps35,Limd2,
Necab2,Rgs2,
Cdip1,Kcna3,
Rab7,Gabra4,
Tmeff1,Rasl11a,
Macf1,Nlgn1,
Laptm4a,Lynx1,
Ndufa9,Lrrc6,
Nell2,Phlda1,
Dusp1,Zfp467,
BC031181,Pvt1,
Bzw1,Chrm2,
Lmo4,Zbtb20,
Ubl3,Cdk19,
Spon1,Trpc4,
Fam126b,Tpbg,
Dlx1as,Prkcdbp,
E530001K10Rik,Asic2,
Gprasp2,Slc6a7,
Atp6v1f,LOC105246134,
Ndufb3,Slc2a13,
Rbm25,Tcerg1l,
Btbd10,Plxdc1,
Aco2,Cyb561,
Psma6,Abcg2,
Hmgcs1,Hap1,
Reep5,Pxdn,
Cit,Tmtc4,
Arhgap5,Nav1,
Pcbp3,Tnfrsf12a,
Rogdi,Adcy8,
Trim2,Coro1c,
Csdc2,Resp18,
Nudt4,Wnt4,
Gm11549,Zscan18,
Sumo3,Pde8b,
Tm9sf2,B230216N24Rik,
Ppp1r1b,Cntnap2,
Cyb5a,Gpr176,
Gpx4,Mkx,
Ppt1,Sox2,
Arpc3,Plxna2,
Psma7,Kazn,
Pnck,Fam189a1,
Crem,Gadd45g,
Epha4,Ajap1,
Suclg1,Paqr7,
Xbp1,B3galt1,
Chga,Tmem218,
Actg1,Elfn1,
St3gal5,Igsf3,
Reps2,Trim62,
Abat,A830018L16Rik,
Cpne7,Asic1,
Acsl3,Runx1t1,
Nap1l2,P4ha2,
Trim9,Klhl5,
Srsf3,Numb,
Etv1,Akr1b10,
Srrm1,Rspo3,
Grik2,Bcl11a,
Cntn1,Tmtc1,
Psmc1,Lrp1b,
Kif21a,Rbms1,
Slc7a3,Phlda3,
Sv2a,Incenp,
Dctn3,Ostf1,
Polr2m,Herc6,
Slc24a3,Kcnmb4,
Gdi2,P2rx4,
Timm8b,Chst2,
Gabarap,Dscam,
Grm5,Tmem132d,
Camkv,Mtss1,
Atp2c1,Trpc3,
Cct3,4930452B06Rik,
Spop,Csgalnact1,
Cbln4,Ptprd,
Myo5a,Fam26e,
Cct4,Pip5k1b,
Tmem35,Tox2,
Epdr1,Slc22a23,
Nedd8,Kctd1,
Dad1,Dcbld1,
Arl8b,Sdc3,
Rragb,Trpc5,
Zbtb20,Itm2a,
Rora,Ptprf,
Ddit4l,Rspo2,
Pcdh8,Lipa,
Ssb,Etl4,
Lamp1,Acadl,
Bsn,Rimbp2,
Copg1,Prkca,
Ccnd2,5031439G07Rik,
Gm7743,Tmem145,
Pak3,Klhdc8a,
Scn2a1,Fosl2,
1110004F10Rik,Il11ra1,
Yaf2,Tppp3,
Galnt9,Cpeb2,
Cdkn1a,Gpr3,
Ptplad1,Cxcl12,
Mpped1,Tox,
Slc4a10,Kitl,
Kif3a,Hist1h2bc,
Mical2,Plekha6,
Egr3,Mtus1,
Camk1,Esrrg,
Sdhd,Peak1,
LOC101056001,Nab2,
Kcnab1,Ppm1m,
Abhd12,Krt1,
Rnf11,Rai2,
Purb,Ctgf,
Rbfox1,Brinp1,
Miat,Sorbs2,
Fmnl1,Acbd4,
Stx7,Rap1gap2,
Ndufc1,Frmpd3,
Tmem9b,Slc17a6,
Tppp,Slc2a1,
Mob4,Npy5r,
Tcp1,Tmem132b,
Emc4,St8sia4,
Spcs1,Trpc6,
Mycbp2,Mtcl1,
Myl6,Mfsd4,
Slc3a2,Ust,
Psmd1,Sema6a,
Sptan1,Slitrk2,
Igsf8,Opn3,
Ndufv1,Stac2,
Gria3,Drc1,
Ppp1ca,Dsel,
Hnrnpdl,Dlx2,
B3galnt1,Igsf9b,
Eif5,Gpr88,
Npdc1,Ifit2,
Trank1,Scn3a,
Pfkm,Ctxn2,
Cnih1,Pou3f2,
Parm1,Htr1f,
Hnrnph1,Bmp1,
Kalrn,Zfp825,
Kcnf1,Arl4a,
Ociad2,Ramp2,
Scn8a,Ptchd2,
Dnm1l,Tshz3,
Rorb,Sptb,
Scn1a,Etv5,
Phyh,Pyurf,
Npy1r,Gprin3,
Cox14,5330434G04Rik,
Ngef,Elavl2,
Grcc10,Jun,
Limch1,LOC105246694,
Kifap3,Nfkbia,
Gabrg1,Nos1ap,
Cntn4,Gabrg3,
Actr1b,Ano4,
Ube2d3,Lrrc4,
Stk25,Osbpl1a,
Kcnb1,Klf3,
Map2,Tubb2b,
Slc39a10,Sgms1,
Xist,Gpr22,
Ifitm10,BC030499,
Pcsk2,Rnf39,
Elovl4,Rbm24,
Swi5,Pbx1,
Wasf1,Efna5,
Car2,Frmd6,
Ubl5,Gtf2h2,
D10Bwg1379e,Adra1a,
Unc80,Slc12a2,
Tax1bp1,Pcdh18,
Nedd4,1810041L15Rik,
Ankrd46,Inf2,
Calm3,Egfem1,
Thsd7a,Sstr1,
Vamp1,Klhl4,
Smim14,Kctd8,
Ndufa2,Nkain2,
Minos1,Dscaml1,
Bnip3,Ryr3,
Rxfp1,Sema6d,
Ctsl,Msmo1,
Psmc6,Serpinb8,
Ddx1,Cidea,
